count,name,avg
1,Öl oder Pflanzencreme ,
1,für die vegane Variante 10 g Erbsenproteinisolat,
24,Fett für die Pfanne,3.6
1,Reismehl oder Kokosmehl für die Form,
1,1370,
2,Fett für die Form oder Backtrennspray,
4,Rama Cremefine ,
8,Süßungsmittel nach Wahl,
1,Kuchenglasur für Sachertorte,
1,Nudeln vom Vortag,
1,Cocktailtomaten oder kleine Gewürzgurken o. ä.,
1,Guarkernmehl oder Johannisbrotkernmehl,
1,Cornflakes nach Belieben,
1,Orangensaft oder Orangen-Buttermilch,
3,Mozzarella light,
1417,Erdbeeren,3.5
1,Nutella oder Konfitüre als Füllung,
1,selbst gemachte,
1,Sahne oder Pflanzensahne,
1,Rohrohrzucker oder Stevia oder Süsstoff,
1,Kokoschips oder Kokosraspel,
2,Dinkel oder Weizen,
1,5 kleine Chilischoten,
1,Apfel oder Birne,
1,Margarine oder Pflanzenöl,
950,süße Sahne,3.67
1,Hülsenfrüchte für die Form,
1,Zitronensaft - Konzentrat aus der Flasche oder,
5,Orangenlikör oder Orangensaft,
1,Rumtopf,
1,Kalbfleisch für Gulasch gewürfelt,
1,300 g Garnelen,
2,Brühe oder Kalbsfond,
125,Austernsauce,3.67
8,Rippchen vom Schwein,
1,Suppenfleisch oder Rinderbrust,
1,Panko oder Semmelbrösel,
1,Pfirsichkonfitüre ,
1,Fertigmischung für Fleischpfanne,
1,Mehl . für die Füllung,
10,Dinkelgrieß,3.25
2,Kresse - Blätter,
1,halbfette Sahne,
5,Pecannüsse,
1,Ricard,
1,Crème fraîche oder Sahne ,
1,Puderzucker und Kakao ,
1,Soja -Geschnetzeltes,
2,Kümmel oder Kreuzkümmel,
2,Parmesan oder Gouda,
1,Obst nach Belieben und Jahreszeit,
12,Himbeersaft,3.965
1,Vanilleeis ,
1,Mayonnaise mit Estragonsenf,
31,Wasser oder Milch,3.5
1,Glühwein -Quick,
32,Ananas - Stücke,3.5
6,Mark,
1,Butter  der Formen,
2,Gemüsebrühe oder Fond,
9,Zucker und,
2,Drachenfrucht,
1,Putenbrust in mundgerechte Stücke genschnitten,
1,Weinkraut,
3,Früchte - Backmix,
1,Gurkenflüssigkeit nach Bedarf,
1,Eiswürfel aus Johannisbeersaft,
1,ein anderes Bindemittel,
72,Tomatenpaprika,3.45
69,Mangochutney,3.675
1,Fenchel in Streifen,
3,Vanille-,
1,Kokosmilch oder Vollmilch 3,
9,Risotto - Reis,
1,Öl zum  Frittieren,
1,entsprechende Menge Rindfleisch ,
1,andere Beerenkonfitüre,
1,Joghurt bei Bedarf,
3,Wolfsbarsch,
1,Weizen - Schrot,
2,Vanillesaucenpulver ohne Kochen,
1,Hirschfleisch aus der Keule,
27,Schweinehackfleisch,3.54
2,Mehl oder Dinklmehl,
1,Kalbsbraten oder Kalbsgulasch,
1,Rapsöl oder Butterschmalz ,
1,Weizenmehl mind. Type 550,
1,Kräuterfrischkäse oder Sour Cream,
3,Löwenzahn - Blätter,
9,Gummibärchen,
1,Toastbrot in Scheiben,
1,Butter oder Olivenöl für die Form,
50,Zitronenthymian,3.365
1,Cocktailtomaten oder 1 normalgroße Tomate,
18,Butter für die Förmchen,3.365
1,Öl oder Sahne,
2,Fleischbrühe oder Wildfond,
9,Butter o. Margarine,
1,für Vegetarier Agar-Agar,
1,Zitronenschale und/oder Orangenschale,
1,Dill auf jeden Fall,
1,Senf - Körner,
2,Walnussöl oder Sesamöl,
1,Schabziger Klee,
1,Tomatenmark oder Wild-Jus,
1,Brennesselgouda,
364,Fenchel,3.5
2,Kochschinken in Scheiben,
1,Spargel oder Bohnen,
1,Buchenpilze oder Shiitake,
1,Fanta zero,
1,Gelatine à 9 g,
1,entsprechend Flüssigsüßstoff,
1,Basilikumblätter und ein paar weitere kleine Blätter zur Dekoration,
1,Haferflocken oder Haferkleie,
1,Brötchenteig ,
1,Kakaopulver dazu,
2,Fett oder Butter,
1,Aceto balsamico 6 % Säure,
1,Weinbrand od. Cognac,
3,Streusel ,
38,Cidre,3.5
2,Wildschweingulasch,
1,Rippchen vom Schwein von je 80 g,
1,Butter oder auch Margarine,
1,Maisstärke oder andere Speisestärke,
1,Zitronat und Orangeat,
1,Kresse als Dekoration,
4,Knochen vom Rind,
1,Tatar vom Fassone-Rind,
1,2 Beutel Trockenhefe,
2,Quark oder Frischkäse,
1,Kletzen,
2,Mett oder Gehacktes,
1,Butterschmalz oder gutes Salatöl,
3,Tamarisauce,
1,Brühe oder Hühnerbrühe,
1,Lammfleisch aus der Schulter oder Keule,
1,Gemüsebrühepulver oder 1 Brühwürfel,
1,Gemüsebrühepulver aus dem Glas ohne Glutamat,
1,Hähnchenschenkel ohne Haut,
1,Butterschmalz oder Butterfett,
1,Wurst oder Schinken,
1,Gratinkäse oder Pizzakäse,
1,Gänsebrust von etwa 1 kg,
4,Wasser  der Speisestärke,
1,Teig aus dem Kühlregal,
1,Erdbeeren aus der Dose,
1,Pflanzenöl oder anderes Bratfett,
1,Schweineschnitzel à ca. 150 g,
1,Eierspätzle,
6,Schafskäse oder Feta-Käse,
1,Schnittlauch und/oder Kerbel,
1,Sojasprossen oder Mungobohnensprossen,
1,Maniokmehl,
3,Pistazien oder Mandeln,
1,Himbeeren oder Holunderbeeren,
97,Lammfleisch,3.5
1,Egerlinge oder weiße Champignons,
1,Bacon oder Speck in Scheiben,
1,Zucker oder ein Schuss Ahornsirup,
1,Pommes frites . TK,
1429,Vanillinzucker,3.7
1,Macadamianüsse oder Nüsse nach Wahl,
1,Feta-Käse aus Kuh-,
1,Whisky oder Calvados ,
14,Sojabohnen,3.75
1,Olivenöl oder Öl von den getrockneten Tomaten,
1,Nussöl oder Rapsöl,
1503,Orange,3.5
1,Marmelade ,
1,Grillkäse Tomate-Basilikum,
1,Vanilleextrakt oder einige Tropfen Vanillearoma,
1,Cole Slaw,
1,Paprikapulver o.ä.,
